,Column 1,1,PV_cum_capacity MW last year,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),PV_cum_capacity MW last year^2,PV_cum_capacity MW last year total_population,PV_cum_capacity MW last year agri_land_area,PV_cum_capacity MW last year tertiary,PV_cum_capacity MW last year electricity net consumption (billion kWh),total_population^2,total_population agri_land_area,total_population tertiary,total_population electricity net consumption (billion kWh),agri_land_area^2,agri_land_area tertiary,agri_land_area electricity net consumption (billion kWh),tertiary^2,tertiary electricity net consumption (billion kWh),electricity net consumption (billion kWh)^2,PV_capacity_additions_MW,H2_1 2,H2_2 2,H2_3 2,H2_4 2,H2_5 2,H1_1 2,H1_2 2,H1_3 2,H1_4 2,H1_5 2,Predicted_PV_capacity_additions_MW,residual,Country,set
14,736,1,46,11121341,74890,11543538.23,56.44704,2116,511581686,3444940,531002758.6,2596.56384,1.24E+14,8.32877E+11,1.28E+14,627766780.3,5608512100,8.64496E+11,4227318.826,1.33E+14,651598564.2,3186.268325,156,0.111591397,0.074028756,-0.138094885,0.178718426,-0.077941256,0.138396835,-0.03295576,0.012718862,0.008330124,0.002381342,18.18325854,137.8167415,Greece,test
15,655,1,3,5200598,22360,4412186.359,80.51898,9,15601794,67080,13236559.08,241.55694,2.7E+13,1.16285E+11,2.29E+13,418746846.4,499969600,98656486987,1800404.393,1.95E+13,355264745.2,6483.30614,0,0.0809013,0.097974325,-0.165769414,0.152347845,-0.08644146,0.137769252,-0.034388925,0.012462168,0.008276316,0.002500895,61.36476138,-61.36476138,Finland,test
16,867,1,0,3996521,43700,2231903.853,22.36862,0,0,0,0,0,1.6E+13,1.74648E+11,8.92E+12,89396659.57,1909690000,97534198376,977508.694,4.98E+12,49924609.16,500.3551607,0,0.106513442,0.086459387,-0.114947832,0.182681966,-0.096334975,0.138307743,-0.031654847,0.01302756,0.008557157,0.002349128,0.850505502,-0.850505501,Ireland,test
17,1023,1,0.3,2987773,28422,2382797.749,9.66286,0.09,896331.9,8526.6,714839.3247,2.898858,8.93E+12,84918484206,7.12E+12,28870432.21,807810084,67723877622,274637.8069,5.68E+12,23024641.06,93.37086338,6.7,0.106697043,0.085835166,-0.115159383,0.195674761,-0.102935832,0.138541441,-0.031803409,0.013293668,0.008818388,0.002588299,-4.374242954,11.07424295,Lithuania,test
18,1260,1,10.823,26905982,41210,4303275.394,3.917444,117.137329,291203443.2,446015.83,46574349.59,42.39849641,7.24E+14,1.11E+12,1.16E+14,105402677.8,1698264100,1.77338E+11,161437.8672,1.85E+13,16857840.37,15.34636749,0.719,0.105908369,0.077765698,-0.114239075,0.201115996,-0.105584128,0.138604829,-0.03177251,0.013389278,0.008942995,0.002678495,-0.808844599,1.527844599,Nepal,test
19,768,1,13.319,12414292,145000,983343.5285,1.207224,177.395761,165345955.1,1931255,13097152.46,16.07901646,1.54E+14,1.8E+12,1.22E+13,14986831.25,21025000000,1.42585E+11,175047.48,9.66964E+11,1187115.908,1.457389786,0.044,0.141523794,0.06904777,-0.04848756,0.170978094,-0.079403174,0.138084889,-0.027543414,0.012651731,0.007833725,0.001197269,-36.80710637,36.85110637,Guinea,test
20,1071,1,0,23709115,69470,5926500.939,60.78044,0,0,0,0,0,5.62E+14,1.65E+12,1.41E+14,1441050442,4826080900,4.11714E+11,4222417.167,3.51E+13,360215334.7,3694.261887,0,0.097902606,0.083252411,-0.136017004,0.158178161,-0.082659841,0.137883939,-0.032626187,0.012494314,0.008164219,0.002150091,28.31708292,-28.31708292,Malaysia,test
21,1044,1,0.007,17802992,408430,459171.2094,1.023,4.90E-05,124620.944,2859.01,3214.198466,0.007161,3.17E+14,7.27E+12,8.17E+12,18212460.82,1.66815E+11,1.87539E+11,417823.89,2.10838E+11,469732.1472,1.046529,0.093,0.221599151,0.032009301,0.09189462,0.106287074,-0.014882845,0.136902249,-0.018495446,0.010907176,0.005335744,-0.001988333,-45.24312511,45.33612511,Madagascar,test
22,640,1,0.001,82916236,345130,3008109.925,3.38708,1.00E-06,82916.236,345.13,3008.109925,0.00338708,6.88E+15,2.86E+13,2.49E+14,280843924.6,1.19115E+11,1.04E+12,1168982.92,9.05E+12,10188708.96,11.47231093,0,0.18030142,0.031714659,0.036410563,0.122714773,-0.042787386,0.137086956,-0.021876216,0.011474681,0.006322325,-0.000836129,-43.7465389,43.7465389,Ethiopia,test
23,1158,1,15,101684764,1065500,22478281.63,174.02456,225,1525271460,15982500,337174224.5,2610.3684,1.03E+16,1.08E+14,2.29E+15,17695646314,1.14E+12,2.4E+13,185423168.7,5.05E+14,3911773070,30284.54748,1,0.353119597,-0.067265732,0.269413522,-0.120594703,0.183839143,0.132995645,-0.005380128,0.005084584,-0.00136986,-0.009083425,59.03567609,-58.03567609,Mexico,test
24,1619,1,4569,46620045,267332,39032930.74,236.45835,20875761,2.13007E+11,1221439908,1.78341E+11,1080378.201,2.17E+15,1.25E+13,1.82E+15,11023698918,71466398224,1.04E+13,63212883.62,1.52E+15,9229662398,55912.55128,121,0.056919027,0.053824618,-0.327853373,0.346967164,-0.124051503,0.140836722,-0.046686982,0.015209546,0.011693457,0.008338193,891.9708049,-770.9708049,Spain,test
25,1290,1,0.8,13624474,429650,142749.0616,0.49,0.64,10899579.2,343720,114199.2493,0.392,1.86E+14,5.85E+12,1.94E+12,6675992.26,1.84599E+11,61332134316,210528.5,20377294588,69947.04018,0.2401,0.2,0.229440802,0.029759093,0.104973775,0.101044279,-0.009015554,0.136807358,-0.017670925,0.010757635,0.005108701,-0.002268166,-42.44152764,42.64152764,Niger,test
26,1377,1,0.636,3330222,22300,1401819.007,4.739,0.404496,2118021.192,14182.8,891556.8885,3.014004,1.11E+13,74263950600,4.67E+12,15781922.06,497290000,31260563856,105679.7,1.97E+12,6643220.274,22.458121,0.116,0.105240173,0.087189592,-0.113805655,0.197934559,-0.106296729,0.138558582,-0.031751042,0.013368694,0.008892735,0.002639415,-4.224749506,4.340749506,Panama,test
27,1458,1,3.8,3721525,1939,3330692.189,17.3738,14.44,14141795,7368.2,12656630.32,66.02044,1.38E+13,7216036975,1.24E+13,64657031.04,3759721,6458212154,33687.7982,1.11E+13,57866779.95,301.8489264,0,0.096221151,0.089623058,-0.135678659,0.199090075,-0.10731709,0.138599453,-0.033070539,0.01339083,0.009026492,0.002940113,14.39397087,-14.39397087,Puerto Rico,test
28,103,1,1.6,103776,20,17024.88897,0.831052371,2.56,166041.6,32,27239.82235,1.329683794,10769458176,2075520,1766774878,86243.29085,400,340497.7794,16.62104742,289846844.4,14148.57434,0.690648043,3.3,0.099113384,0.091977372,-0.120060968,0.202385772,-0.112872934,0.138608506,-0.032186076,0.013515478,0.009077149,0.002850758,2.482914848,0.817085152,Aruba,test
29,1142,1,0,1221003,980,217642.0707,1.855926,0,0,0,0,0,1.49E+12,1196582940,2.65742E+11,2266091.214,960400,213289229.3,1818.80748,47368070939,403927.5777,3.444461317,0,0.098890442,0.091636178,-0.120747062,0.201817637,-0.112460369,0.138599232,-0.03221903,0.013501532,0.009068154,0.002847266,3.12797049,-3.12797049,Mauritius,test
30,434,1,221,17969356,157850,15321881.12,68.6281,48841,3971227676,34884850,3386135728,15166.8101,3.23E+14,2.84E+12,2.75E+14,1233202761,24916622500,2.42E+12,10832945.59,2.35E+14,1051511590,4709.81611,355,0.132749953,0.058900662,-0.11515179,0.17116808,-0.059317379,0.138313912,-0.031499107,0.012358903,0.007826513,0.001825395,28.7035031,326.2964969,Chile,test
31,597,1,0.044,6183877,14431.2,1614856.362,5.16958,0.001936,272090.588,634.9728,71053.67993,0.22746152,3.82E+13,89240765762,9.99E+12,31968046.86,208259533.4,23304315131,74603.2429,2.61E+12,8348129.152,26.72455738,0,0.101751648,0.087801198,-0.119250052,0.19981959,-0.108607265,0.13858247,-0.032094775,0.013421626,0.008980588,0.002758056,0.990732215,-0.990732215,El Salvador,test
32,1672,1,1061,8282396,15189.336,4779551.387,58.4591,1125721,8787622156,16115885.5,5071104022,62025.1051,6.86E+13,1.25804E+11,3.96E+13,484181416,230715928.1,72598211946,887954.9122,2.28E+13,279408272.5,3417.466373,333,0.069299343,0.097311282,-0.188336498,0.234492806,-0.128128867,0.138990075,-0.036781194,0.014045126,0.009955953,0.004519968,245.0221646,87.97783541,Switzerland,test
