Index,PV_cum_capacity MW last year,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),PV_cum_capacity MW last year^2,PV_cum_capacity MW last year total_population,PV_cum_capacity MW last year agri_land_area,PV_cum_capacity MW last year tertiary,PV_cum_capacity MW last year electricity net consumption (billion kWh),total_population^2,total_population agri_land_area,total_population tertiary,total_population electricity net consumption (billion kWh),agri_land_area^2,agri_land_area tertiary,agri_land_area electricity net consumption (billion kWh),tertiary^2,tertiary electricity net consumption (billion kWh),electricity net consumption (billion kWh)^2,PV_added_capacity_MW,H2_1,H2_2,H2_3,H2_4,H2_5,H1_1,H1_2,H1_3,H1_4,H1_5,capacity_pred,set
821,0.92,327386,18722,266616.5473,17.30582,0.8464,301195.12,17224.24,245287.2235,15.9213544,1.07E+11,6129320692,87286524954,5665683.187,350513284,4991594999,323999.562,71084383294,4614017.977,299.4914059,0.219,-0.15600499,-0.220134159,0.077952282,-0.254188998,0.053921496,-0.075150106,0.616322098,-0.133084124,-0.017387338,-0.377734916,1.714351552,train
1114,0.8,416268,103.3,166504.2782,1.86186,0.64,333014.4,82.64,133203.4226,1.489488,1.73E+11,43000484.4,69310402878,775032.7385,10670.89,17199891.94,192.330138,27723674659,310007.6554,3.46652266,4.5,-0.148515402,-0.217867011,0.081244265,-0.253535435,0.05525313,-0.071638353,0.615248762,-0.135014358,-0.017589988,-0.380235391,5.668910559,train
69,8.618,43590368,1487000,38016662.74,128.16484,74.269924,375661791.4,12814966,327627599.5,1104.524591,1.90E+15,6.48E+13,1.66E+15,5586752540,2.21E+12,5.65E+13,190581117.1,1.45E+15,4872399497,16426.22621,0.188,-0.291792233,-0.381294606,-0.222973712,-0.348766877,-0.329771753,-0.223688558,0.598147063,-0.021012651,0.001920354,-0.317246459,-32.05073708,train
1575,533,5418649,18894,2854803.311,25.65038,284089,2888139917,10070502,1521610165,13671.65254,2.94E+13,1.02E+11,1.55E+13,138990405.9,356983236,53938653758,484638.2797,8.15E+12,73226789.75,657.9419941,0,-0.134956726,-0.25417736,0.104396499,-0.292232113,0.075722644,-0.056118921,0.630379632,-0.158187542,-0.021772586,-0.380787546,105.4013731,train
1136,18.166,4163532,396610,222852.2149,1.138329,330.003556,75634722.31,7204817.26,4048333.336,20.67888461,1.73E+13,1.65E+12,9.28E+11,4739469.218,1.57E+11,88385416951,451472.6647,49663109686,253679.1389,1.295792912,16.6,-0.136518988,-0.228122378,0.001134024,-0.263465326,-0.037262046,-0.094933719,0.59310912,-0.110506654,-0.011298475,-0.387453826,24.75826934,train
1200,3.389,622227,2568,348950.9419,2.99757,11.485321,2108727.303,8702.952,1182594.742,10.15876473,3.87E+11,1597878936,2.17E+11,1865168.988,6594624,896106018.8,7697.75976,1.22E+11,1046004.875,8.985425905,1.07,-0.149234611,-0.218747317,0.080737171,-0.254056301,0.05468689,-0.072017192,0.615483402,-0.13489165,-0.017584307,-0.379900265,5.77256706,train
721,0,25387713,148235.68,2987466.179,7.66866,0,0,0,0,0,6.45E+14,3.76E+12,7.58E+13,194689739.2,21973816825,4.43E+11,1136769.03,8.92E+12,22909862.39,58.8083462,0,-0.166882455,-0.236389853,0.036265955,-0.267742753,0.014425958,-0.091735965,0.611616827,-0.121617584,-0.014696196,-0.375614657,2.633809347,train
1528,3.29,13033814,89650,1299808.89,2.64434,10.8241,42881248.06,294948.5,4276371.248,8.6998786,1.70E+14,1.17E+12,1.69E+13,34465835.71,8037122500,1.17E+11,237065.081,1.69E+12,3437136.64,6.992534036,1.5,-0.155207544,-0.226583086,0.0557027,-0.260661582,0.031380845,-0.081876025,0.612001887,-0.127649785,-0.01587291,-0.379073087,4.520935184,train
25,0,31855110,398550,5533602.289,21.62354,0,0,0,0,0,1.01E+15,1.27E+13,1.76E+14,688820245.3,1.59E+11,2.21E+12,8618061.867,3.06E+13,119656070.4,467.5774821,0,-0.174671727,-0.251541413,-0.017919907,-0.278602007,-0.046036678,-0.112514252,0.601935662,-0.103914339,-0.010766671,-0.37409836,-0.321020221,train
364,2.14,14312205,54550,1998697.948,2.2046,4.5796,30628118.7,116737,4277213.609,4.717844,2.05E+14,7.81E+11,2.86E+13,31552687.14,2975702500,1.09E+11,120260.93,3.99E+12,4406329.496,4.86026116,0.056,-0.158648761,-0.228276641,0.061986776,-0.2611871,0.037984953,-0.080878728,0.614820068,-0.129483725,-0.016462256,-0.3771959,5.564718682,train
